section,role,asset_path,status,usage
Hero,Primary visual,usb_kuta/AHRPTWmPuu67v49TrR6w49tyRSaY4HLNyLObLdJYUWLb7AVGP0RwFOqPokY1CpV_FJqofH4A2PypeQ3m5JjF0eYKneTHTAj91kRdB2-TI5Tu55GdIC5ND7R4KuuCrcQxEws005INCjCWRZ3ERr65w4096-h2048-k-no.jpg,VERIFIED,Wide interior hero
Experience,Atmosphere,usb_kuta/ACvplmOIj7P6Y9NV9WhLWhX6T_TLbvDgBSVj9qiYmHd46qLqncZ1ged1aWrI5oYyj0xVEK9T25HCkShU7r84GtxIPcsWzfbVWZzc88RGfYw0DxDOuBQsWqfsCgWjp_XvY9_5UF_LdLv0HMKGaWMw640-h800-n-k-no.jpg,VERIFIED,Guests and bar atmosphere
Sports,Feature visual,usb_kuta/AHRPTWkzENp5Lza80EoSQIiTE0fzBJ6VsuGFtU3DRnWqrewmU-iAzUxiF-xDfiwqAprczMnqiW2hse8oboi9JcpgrNNuky52lPAHF8diY2Bc5QTndXNr_dDNOnpXpc2oXVIvGzwhQ6Qz7mWa1e1Yw4096-h2048-k-no.jpg,VERIFIED,Guests with sports-screen atmosphere
Events,Feature visual,usb_kuta/AHRPTWmtbWe70xAomIK3OfJ3Uky29ewlX_46kaM-EFZm-r4HVpTC6IF5AlLT0jL418ViqGEFWf0epANOF3jehT2zmpTRM0sTxLoSVsDLZc2Bv2jIMJ9cBWs65ddgM2tm4pCv9n6ZQADkbJ-oOvncw4096-h2048-k-no.jpg,VERIFIED,Promotional/event board
Location,Exterior,usb_kuta/AHRPTWmiSEv197nqJ14XXKJdMPWzKQnnYUENyTiZ_gwW-Py5cgJgMghdKmEVLCRRagzb2AjPEn5RQlsdo6aOZKYG6YkGw5bH3Ni3aCjdV-MRIukDvBk0qBNddxEB7pT9Iqcj02vpGQFOy9LGIVvw4096-h2048-k-no.jpg,VERIFIED,Entrance/exterior
Logo,Brand mark,usb_kuta/file_00000000a30481fa9740898c71c943a7.png,VERIFIED,Actual supplied logo
Food & Drinks,Drink,usb_kuta/AHRPTWk-HX82jRiOPgMUUj7smN4tiwewAHP9vxu5E4H8MD801lK91ioiVl4vpR3vkZB6Xq35ygh5q15ezNDvJ3R6rDrRkB2U6O5JNZD2JzCS4zT47Nd3VQ4WAi3WK7iaZvyZxmG2RuiP3YLUxlaJw4096-h2048-k-no.png,VERIFIED,Cocktail/drink
Food & Drinks,Food,usb_kuta/AHRPTWk75hk7Sqqy3p7zDHlD9LE0oNeuxjro9dhJKVLFf4TOQiq1-_q7RTJ8WPTWD1gko9gVQscE3xRNYEyGQGDrPAaApzoq3MZlxGOi_yvhRr0FnJHxoE5TiX3Ag24wgBV1Hcb0hvTw8hKJvzf7w4096-h2048-k-no.jpg,VERIFIED,Sushi
Food & Drinks,Food,usb_kuta/AHRPTWkzf3jryPTM82p1ARTUJmdtCu8e9X12D4AaTKOChNHOlfUaKjBN2FuSsMOXuMhRXA9iyYVsNILx5vlnITXpTQScPBea3F587jU2YCR7K9ClW5eG44T2EKFJYcg7yumQOWGN-t0S0F36VResw4096-h2048-k-no.jpg,VERIFIED,Sharing plate
Food & Drinks,Drink,usb_kuta/AHRPTWmv3-y4XeVlJ5-tTWoXYpDZ5K4dlgqRjeKyiirbC-oUiGXdaYny0xb9URXgDZZl065dfbr1HH7Smt2w9epCUtqQLspMIsMto3XhXMV3Osk6eCGwJrrgAqLVVaZA_J0kYAxHtTzI6gcowm2Aw4096-h2048-k-no.png,VERIFIED,Cocktail
Gallery,Interior,usb_kuta/AHRPTWmPuu67v49TrR6w49tyRSaY4HLNyLObLdJYUWLb7AVGP0RwFOqPokY1CpV_FJqofH4A2PypeQ3m5JjF0eYKneTHTAj91kRdB2-TI5Tu55GdIC5ND7R4KuuCrcQxEws005INCjCWRZ3ERr65w4096-h2048-k-no.jpg,VERIFIED,Interior
Gallery,Atmosphere,usb_kuta/ACvplmOIj7P6Y9NV9WhLWhX6T_TLbvDgBSVj9qiYmHd46qLqncZ1ged1aWrI5oYyj0xVEK9T25HCkShU7r84GtxIPcsWzfbVWZzc88RGfYw0DxDOuBQsWqfsCgWjp_XvY9_5UF_LdLv0HMKGaWMw640-h800-n-k-no.jpg,VERIFIED,Guests
Gallery,Food,usb_kuta/AHRPTWkzf3jryPTM82p1ARTUJmdtCu8e9X12D4AaTKOChNHOlfUaKjBN2FuSsMOXuMhRXA9iyYVsNILx5vlnITXpTQScPBea3F587jU2YCR7K9ClW5eG44T2EKFJYcg7yumQOWGN-t0S0F36VResw4096-h2048-k-no.jpg,VERIFIED,Food
Gallery,Food,usb_kuta/AHRPTWl2ZOCf6nkoktnCp-ajRCy6jCFe0ayxxFXpH1Qnx44S00t652-yEXqXmB-q6dzs2aQsuNldeAWuCGLS6o3j8XulP04R7sodSgUpXHjqh4ZtUqM61-ukRYZipGbCGb5DXAY1OsYfwBwKpXaMw4096-h2048-k-no.jpg,VERIFIED,Sushi
Gallery,Drink,usb_kuta/AHRPTWmv3-y4XeVlJ5-tTWoXYpDZ5K4dlgqRjeKyiirbC-oUiGXdaYny0xb9URXgDZZl065dfbr1HH7Smt2w9epCUtqQLspMIsMto3XhXMV3Osk6eCGwJrrgAqLVVaZA_J0kYAxHtTzI6gcowm2Aw4096-h2048-k-no.png,VERIFIED,Cocktail
Gallery,Exterior,usb_kuta/AHRPTWmiSEv197nqJ14XXKJdMPWzKQnnYUENyTiZ_gwW-Py5cgJgMghdKmEVLCRRagzb2AjPEn5RQlsdo6aOZKYG6YkGw5bH3Ni3aCjdV-MRIukDvBk0qBNddxEB7pT9Iqcj02vpGQFOy9LGIVvw4096-h2048-k-no.jpg,VERIFIED,Entrance
Gallery,Food,usb_kuta/AHRPTWnHURmOAIC1ebklkou8wKMx8WsTxiUuzi0R0V7Ib6lnUmuvFroBrtINeGvHKO0Q8B10z566bK81IM35B3c8takLUxAflLpiZzHkzRY7SmSEOTdSqRGrLth3_govH0V3chaJ44-hC7Hb9Gkdw4096-h2048-k-no.jpg,VERIFIED,Food close-up
Gallery,Events,usb_kuta/AHRPTWmtbWe70xAomIK3OfJ3Uky29ewlX_46kaM-EFZm-r4HVpTC6IF5AlLT0jL418ViqGEFWf0epANOF3jehT2zmpTRM0sTxLoSVsDLZc2Bv2jIMJ9cBWs65ddgM2tm4pCv9n6ZQADkbJ-oOvncw4096-h2048-k-no.jpg,VERIFIED,Event board
EXCLUDE,Placeholder,usb_kuta/test,EXCLUDE,1-byte file
